Portrait,Party,Born,Occupation,Previous Elective Offices,Assumed Office,Term Up,Residence,State,Age,Pop 2019,First Name,Last Name
,Democratic,"March 4, 1958","Public relations consultant
Political campaign manager
Chief of staff to the Mayor of Minneapolis
Chief of staff to the Governor of Minnesota",Lieutenant Governor of Minnesota,"January 3, 2018[n]",2026,Minneapolis[32],Minnesota,63,"      5,639,632      ",Tina,Smith
,Republican,"July 5, 1951","U.S. Air Force officer/Judge Advocate
U.S. House staffer
Lawyer","U.S. House
Mississippi Senate","December 31, 2007[o]",2024,Tupelo[34],Mississippi,69,"      2,976,149      ",Roger,Wicker
,Republican,"May 10, 1959",Farmer,"Mississippi Commissioner of Agriculture and Commerce
Mississippi Senate","April 9, 2018[p]",2026,Brookhaven,Mississippi,62,"      2,976,149      ",Cindy,Hyde-Smith
,Republican,"January 10, 1950",University president,"U.S. House
Missouri Secretary of State
Greene County, Missouri Clerk","January 3, 2011",2022,Springfield,Missouri,71,"      6,137,428      ",Roy,Blunt
,Republican,"December 31, 1979","Lawyer
Professor",Attorney General of Missouri,"January 3, 2019",2024,Springfield[35],Missouri,41,"      6,137,428      ",Josh,Hawley
,Democratic,"August 21, 1956","Music teacher
Farmer","Montana Senate President
Big Sandy, Montana School Board","January 3, 2007",2024,Big Sandy,Montana,64,"      1,068,778      ",Jon,Tester
,Republican,"August 20, 1962",Businessman,U.S. House,"January 3, 2015",2026,Bozeman,Montana,58,"      1,068,778      ",Steve,Daines
,Republican,"March 1, 1951",Rancher,Nebraska Legislature,"January 3, 2013",2024,Valentine,Nebraska,70,"      1,934,408      ",Deb,Fischer
,Republican,"February 22, 1972","Management consultant
House staffer
Professor
University president
Assistant Secretary for Planning and Evaluation, HHS",None,"January 3, 2015",2026,Fremont,Nebraska,49,"      1,934,408      ",Ben,Sasse
,Democratic,"March 29, 1964",Lawyer,Nevada Attorney General,"January 3, 2017",2022,Las Vegas,Nevada,57,"      3,080,156      ",Catherine Cortez,Masto
,Democratic,"August 2, 1957e","Computer programmer
Software developer, designer, consultant[36][37]",U.S. House,"January 3, 2019",2024,Henderson[36],Nevada,63,"      3,080,156      ",Jacky,Rosen
,Democratic,"January 28, 1947","Teacher
Entrepreneur","Governor of New Hampshire
New Hampshire Senate","January 3, 2009",2026,Madbury,New Hampshire,74,"      1,359,711      ",Jeanne,Shaheen
,Democratic,"February 27, 1958",Lawyer,"Governor of New Hampshire
New Hampshire Senate","January 3, 2017",2022,Newfields,New Hampshire,63,"      1,359,711      ",Maggie,Hassan
,Democratic,"January 1, 1954",Lawyer,"U.S. House
New Jersey Senate
New Jersey General Assembly
Mayor of Union City
Union City Board of Education","January 17, 2006[q]",2024,North Bergen[38],New Jersey,67,"      8,882,190      ",Bob,Menendez
,Democratic,"April 27, 1969",Lawyer,"Mayor of Newark, New Jersey
Newark Municipal Council","October 31, 2013[r]",2026,Newark,New Jersey,52,"      8,882,190      ",Cory,Booker
,Democratic,"October 17, 1971","Nonprofit organization executive
Public relations consultant","U.S. House
Albuquerque City Council","January 3, 2013",2024,Albuquerque,New Mexico,49,"      2,096,829      ",Martin,Heinrich
,Democratic,"June 7, 1972","Director of Administrative Services and
Chief Financial Officer, New Mexico Cultural Affairs Department
New Mexico Deputy State Treasurer","U.S. House
New Mexico Public Regulation Commission","January 3, 2021",2026,Santa Fe,New Mexico,48,"      2,096,829      ",Ben Ray,Luján
,Democratic,"November 23, 1950",Lawyer,"U.S. House
New York State Assembly","January 3, 1999",2022,Brooklyn,New York,70,"      19,453,561      ",Chuck,Schumer
,Democratic,"December 9, 1966","Lawyer
U.S. HUD special counsel",U.S. House,"January 26, 2009[s]",2024,Troy[40],New York,54,"      19,453,561      ",Kirsten,Gillibrand
,Republican,"November 30, 1955","Sales manager
Nonprofit organization executive",U.S. House,"January 3, 2005",2022,Winston-Salem,North Carolina,65,"      10,488,084      ",Richard,Burr
,Republican,"August 30, 1960",Business consultant,Speaker of the North Carolina House of Representatives,"January 3, 2015",2026,Huntersville,North Carolina,60,"      10,488,084      ",Thom,Tillis
,Republican,"March 13, 1957",Banker,Governor of North Dakota,"January 3, 2011",2022,Bismarck,North Dakota,64,"      762,062      ",John,Hoeven
,Republican,"January 21, 1961","State Tourism Director
State Economic Development and Finance Director
North Dakota Republican Party Chairman","U.S. House
North Dakota Public Service Commissioner","January 3, 2019",2024,Bismarck[41],North Dakota,60,"      762,062      ",Kevin,Cramer
,Democratic,"November 9, 1952",Teacher,"U.S. House
Ohio Secretary of State
Ohio House of Representatives","January 3, 2007",2024,Cleveland[42],Ohio,68,"      11,689,100      ",Sherrod,Brown
,Republican,"December 19, 1955","Lawyer
U.S. Trade Representative
Director of the Office of Management and Budget",U.S. House,"January 3, 2011",2022,Terrace Park,Ohio,65,"      11,689,100      ",Rob,Portman
,Republican,"November 17, 1934","Specialist Fourth Class, U.S. Army
Businessman
Real estate developer
Corporate executive","U.S. House
Mayor of Tulsa, Oklahoma
Oklahoma Senate
Oklahoma House of Representatives","November 16, 1994[t]",2026,Tulsa,Oklahoma,86,"      3,956,971      ",Jim,Inhofe
,Republican,"March 4, 1968","Teacher
Nonprofit program director",U.S. House,"January 3, 2015[u]",2022,Edmond,Oklahoma,53,"      3,956,971      ",James,Lankford
,Democratic,"May 3, 1949","Teacher
Nonprofit organization executive",U.S. House,"February 5, 1996[v]",2022,Portland,Oregon,72,"      4,217,737      ",Ron,Wyden
,Democratic,"October 24, 1956","Nonprofit organization executive
CBO analyst, Defense Department",Oregon House Speaker,"January 3, 2009",2026,Portland,Oregon,64,"      4,217,737      ",Jeff,Merkley
,Democratic,"April 13, 1960","Teacher
Lawyer","Pennsylvania Treasurer
Pennsylvania Auditor","January 3, 2007",2024,Scranton,Pennsylvania,61,"      12,801,989      ",Bob Casey,Jr.
,Republican,"November 17, 1961","Currency trader
Restaurant owner",U.S. House,"January 3, 2011",2022,Zionsville,Pennsylvania,59,"      12,801,989      ",Pat,Toomey
,Democratic,"November 12, 1949","Lawyer
Army Reserve officer
Army officer","U.S. House
Rhode Island Senate","January 3, 1997",2026,Jamestown,Rhode Island,71,"      1,059,361      ",Jack,Reed
,Democratic,"October 20, 1955","Lawyer
United States Attorney",Attorney General of Rhode Island,"January 3, 2007",2024,Newport,Rhode Island,65,"      1,059,361      ",Sheldon,Whitehouse
,Republican,"July 9, 1955","Lawyer
Air Force Reserve officer","U.S. House
South Carolina House of Representatives","January 3, 2003",2026,Seneca,South Carolina,65,"      5,148,714      ",Lindsey,Graham
,Republican,"September 19, 1965","Insurance agent
Financial adviser","U.S. House
South Carolina House of Representatives
Charleston County Council","January 3, 2013[w]",2022,Charleston[43],South Carolina,55,"      5,148,714      ",Tim,Scott
,Republican,"January 7, 1961","Nonprofit organization executive
State Railroad Director
South Dakota Republican Party Executive Director",U.S. House,"January 3, 2005",2022,Sioux Falls,South Dakota,60,"      884,659      ",John,Thune
,Republican,"October 24, 1954",Businessman,"Governor of South Dakota
South Dakota Senate","January 3, 2015",2026,Fort Pierre,South Dakota,66,"      884,659      ",Mike,Rounds
,Republican,"June 6, 1952","Marketing consultant
Executive Director of the Tennessee Film, Entertainment, and Music Commission","U.S. House
Tennessee Senate","January 3, 2019",2024,Brentwood[44],Tennessee,68,"      6,829,174      ",Marsha,Blackburn
,Republican,"August 14, 1959","Management consultant
Partner, private equity investment firm
United States Ambassador to Japan
Tennessee Commissioner of Economic and Community Development",None,"January 3, 2021",2026,Nashville[45],Tennessee,61,"      6,829,174      ",Bill,Hagerty
,Republican,"February 2, 1952",Lawyer,"San Antonio District Judge
Texas Attorney General
Texas Supreme Court
(Associate Justice)","December 2, 2002",2026,San Antonio,Texas,69,"      28,995,881      ",John,Cornyn
,Republican,"December 22, 1970","Lawyer
U.S. Assoc. Deputy AG
Texas Solicitor General",None,"January 3, 2013",2024,Houston,Texas,50,"      28,995,881      ",Ted,Cruz
,Republican,"June 4, 1971","Lawyer
Governor's general counsel
Assistant United States Attorney",None,"January 3, 2011",2022,Alpine,Utah,49,"      3,205,958      ",Mike,Lee
,Republican,"March 12, 1947","Businessman
2012 Republican presidential nominee",Governor of Massachusetts,"January 3, 2019",2024,Holladay[46],Utah,74,"      3,205,958      ",Mitt,Romney
,Democratic,"March 31, 1940",Lawyer,"State's Attorney, Chittenden County, Vermont","January 3, 1975",2022,Middlesex,Vermont,81,"      623,989      ",Patrick,Leahy
,Independent,"September 8, 1941","Filmmaker
Writer
Political activist","U.S. House
Mayor of Burlington, Vermont","January 3, 2007",2024,Burlington,Vermont,79,"      623,989      ",Bernie,Sanders
,Democratic,"December 15, 1954","Businessman
Venture capitalist
Virginia Democratic Party Chair",Governor of Virginia,"January 3, 2009",2026,Alexandria,Virginia,66,"      8,535,519      ",Mark,Warner
,Democratic,"February 26, 1958","Missionary
Lawyer
Teacher
Chair of the Democratic National Committee
2016 Democratic Vice Presidential Nominee","Governor of Virginia
Lt. Governor of Virginia
Mayor of Richmond, Virginia","January 3, 2013",2024,Richmond,Virginia,63,"      8,535,519      ",Tim,Kaine
,Democratic,"October 11, 1950","Teacher
Lobbyist","Washington Senate
Shoreline School Board","January 3, 1993",2022,Freeland[47],Washington,70,"      7,614,893      ",Patty,Murray
,Democratic,"October 13, 1958",Marketing vice president,"U.S. House
Washington House of Representatives","January 3, 2001",2024,Edmonds,Washington,62,"      7,614,893      ",Maria,Cantwell
,Democratic,"August 24, 1947",Corporate executive,"Governor of West Virginia
Secretary of State of West Virginia
West Virginia Senate
West Virginia House of Delegates","November 15, 2010[x]",2024,Charleston,West Virginia,73,"      1,792,147      ",Joe,Manchin
,Republican,"November 26, 1953","College career counselor
Director, state Board of Regents educational information center","U.S. House
West Virginia House of Delegates","January 3, 2015",2026,Charleston,West Virginia,67,"      1,792,147      ",Shelley Moore,Capito
,Republican,"April 8, 1955","Accountant
Corporate executive",None,"January 3, 2011",2022,Oshkosh,Wisconsin,66,"      5,822,434      ",Ron,Johnson
,Democratic,"February 11, 1962",Lawyer,"U.S. House
Wisconsin Assembly
Dane County, Wisconsin Board of Supervisors","January 3, 2013",2024,Madison,Wisconsin,59,"      5,822,434      ",Tammy,Baldwin
,Republican,"July 21, 1952","Orthopedic surgeon
Medical chief of staff
Nonprofit organization executive",Wyoming Senate,"June 25, 2007[y]",2024,Casper,Wyoming,68,"      578,759      ",John,Barrasso
,Republican,"September 10, 1954",Lawyer,"U.S. House
Wyoming Treasurer
Wyoming Senate
Wyoming House of Representatives","January 3, 2021",2026,Cheyenne,Wyoming,66,"      578,759      ",Cynthia,Lummis
